Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	P093501_1 Spectral Count	P093502_2 Spectral Count	P093503_3 Spectral Count	P093504_4 Spectral Count	P093505_5 Spectral Count	P093506_6 Spectral Count	P093507_7 Spectral Count	P093508_8 Spectral Count	P093509_9 Spectral Count	P093510_10 Spectral Count	P093511_11 Spectral Count	P093512_12 Spectral Count	P093513_13 Spectral Count	P093514_14 Spectral Count	P093515_15 Spectral Count	P093516_16 Spectral Count	P093501_1 Unique Spectral Count	P093502_2 Unique Spectral Count	P093503_3 Unique Spectral Count	P093504_4 Unique Spectral Count	P093505_5 Unique Spectral Count	P093506_6 Unique Spectral Count	P093507_7 Unique Spectral Count	P093508_8 Unique Spectral Count	P093509_9 Unique Spectral Count	P093510_10 Unique Spectral Count	P093511_11 Unique Spectral Count	P093512_12 Unique Spectral Count	P093513_13 Unique Spectral Count	P093514_14 Unique Spectral Count	P093515_15 Unique Spectral Count	P093516_16 Unique Spectral Count	P093501_1 Total Spectral Count	P093502_2 Total Spectral Count	P093503_3 Total Spectral Count	P093504_4 Total Spectral Count	P093505_5 Total Spectral Count	P093506_6 Total Spectral Count	P093507_7 Total Spectral Count	P093508_8 Total Spectral Count	P093509_9 Total Spectral Count	P093510_10 Total Spectral Count	P093511_11 Total Spectral Count	P093512_12 Total Spectral Count	P093513_13 Total Spectral Count	P093514_14 Total Spectral Count	P093515_15 Total Spectral Count	P093516_16 Total Spectral Count	P093501_1 Intensity	P093502_2 Intensity	P093503_3 Intensity	P093504_4 Intensity	P093505_5 Intensity	P093506_6 Intensity	P093507_7 Intensity	P093508_8 Intensity	P093509_9 Intensity	P093510_10 Intensity	P093511_11 Intensity	P093512_12 Intensity	P093513_13 Intensity	P093514_14 Intensity	P093515_15 Intensity	P093516_16 Intensity	P093501_1 MaxLFQ Intensity	P093502_2 MaxLFQ Intensity	P093503_3 MaxLFQ Intensity	P093504_4 MaxLFQ Intensity	P093505_5 MaxLFQ Intensity	P093506_6 MaxLFQ Intensity	P093507_7 MaxLFQ Intensity	P093508_8 MaxLFQ Intensity	P093509_9 MaxLFQ Intensity	P093510_10 MaxLFQ Intensity	P093511_11 MaxLFQ Intensity	P093512_12 MaxLFQ Intensity	P093513_13 MaxLFQ Intensity	P093514_14 MaxLFQ Intensity	P093515_15 MaxLFQ Intensity	P093516_16 MaxLFQ Intensity	Indistinguishable Proteins
XP_044342548.1	XP_044342548.1			568				1.0	0.9985	6	8	0	8	0	0	0	2	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	3	0	1	0	0.0	0.0	0.0	2.109347E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5781977.0	1674132.4	0.0	3.4944412E7	0.0	0.0	0.0	0.0	9608396.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2595431.0	0.0	0.0	0.0	XP_044342550.1, XP_044342551.1, XP_044342552.1, XP_044342553.1, XP_044342554.1
XP_044342557.1	XP_044342557.1			282				1.0	0.999	12	321	42	321	0	0	0	0	0	0	0	0	8	0	39	100	94	80	0	0	0	0	0	0	0	0	0	0	1	0	5	13	13	10	0	0	0	0	0	0	0	0	0	0	8	0	39	100	94	80	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1936784E8	0.0	1.0816335E9	8.240977E9	8.0941655E9	3.7091233E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.708173E8	0.0	9.3615674E8	3.6545157E9	2.9441848E9	1.4839465E9	0.0	0.0	
XP_044342560.1	XP_044342560.1			373				1.0	0.999	8	11	9	64	0	0	6	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	25	0	0	14	15	8	0	0	0	0	0	0	1	1	0.0	0.0	2.8018536E7	0.0	0.0	1.3132614E7	2.7058352E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0124826E7	0.0	0.0	1.5327916E7	1.6542261E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
XP_044342561.1	XP_044342561.1			338				1.0	0.9985	3	8	0	8	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.0146951E7	1.6125398E7	0.0	0.0	2152976.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8196150.5	5363508.0	0.0	0.0	4221486.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044351314.1, XP_044351315.1
XP_044342563.1	XP_044342563.1			217				1.0	0.999	5	22	0	22	0	0	2	0	0	0	2	0	0	0	0	6	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	6	4	6	2	0	0.0	0.0	3117288.5	4371883.0	0.0	0.0	2492856.8	0.0	0.0	0.0	0.0	1.7895736E7	1.282652E7	1.5709683E7	5330622.5	0.0	0.0	0.0	3076684.0	3493278.2	0.0	0.0	3177442.8	0.0	0.0	0.0	0.0	5818035.0	5587574.0	4677992.0	0.0	0.0	XP_044351317.1, XP_044358940.1
XP_044342564.1	XP_044342564.1			1032				0.9996	0.9982	9	1	0	27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	3	2	2	1	6	2	4	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26031E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044342565.1, XP_044342566.1
XP_044342570.1	XP_044342570.1			299				0.989	0.9975	6	3	0	73	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	23	2	3	3	4	4	1	8	7	0.0	0.0	0.0	0.0	0.0	0.0	5633150.0	9220163.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5633150.0	9220163.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044351321.1, XP_044358948.1
XP_044342571.1	XP_044342571.1			808				1.0	0.999	58	1049	19	1899	3	12	110	206	74	70	78	53	57	12	34	121	114	100	2	3	0	0	2	7	1	0	2	0	1	0	0	2	3	1	0	0	3	33	185	325	124	114	140	88	130	79	86	208	185	176	15	8	5.654937E7	4.7141062E8	3.40309E9	8.600752E9	2.0327131E9	1.8856059E9	2.8678602E9	1.5303342E9	1.9609283E9	1.7814362E8	1.3937569E9	4.1691346E9	4.367682E9	5.9640494E9	8633598.0	1.3221672E8	3.5666184E7	2.8906006E8	7.75449E8	1.3962885E9	5.3427747E8	5.3592496E8	6.846361E8	5.1428454E8	4.6127706E8	1.7314107E8	3.2495315E8	7.613607E8	7.277464E8	7.560386E8	1.7206434E8	1.4305307E8	
XP_044342574.1	XP_044342574.1			731				1.0	0.999	17	102	6	160	0	0	9	5	4	14	9	6	4	1	7	15	15	6	5	2	0	0	0	0	0	1	1	1	0	0	0	1	2	0	0	0	0	1	16	12	5	20	14	9	4	1	8	23	26	11	6	4	0.0	0.0	2.930291E8	7.1157096E7	1.2814685E7	3.5213277E8	3.7881357E8	5.926376E7	3.2304652E7	5980511.0	3.2399192E7	4.385237E8	3.1336394E8	2.0065603E8	4.8781784E7	2373094.0	0.0	0.0	7.094128E7	2.2954148E7	2.077054E7	7.168097E7	8.074085E7	5.2201236E7	2.2631294E7	7.19902E7	2.9362056E7	1.0182335E8	6.899979E7	3.3917468E7	5.0971164E7	2.4897696E7	
XP_044342578.1	XP_044342578.1			209				1.0	0.999	6	69	0	69	0	0	0	0	0	0	0	0	24	20	13	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	13	8	4	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.793507E8	3.6522976E8	2.4414307E8	1.966125E8	1.3427971E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0866925E8	1.3199915E8	9.4358696E7	1.7043373E8	8.7525224E7	0.0	0.0	0.0	XP_044351326.1
XP_044342587.1	XP_044342587.1			364				0.8061	0.9961	2	8	0	9	0	0	1	1	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	2	1	2	0	0	0.0	0.0	1603300.6	0.0	0.0	1547798.6	0.0	0.0	0.0	0.0	0.0	605555.8	479483.38	0.0	0.0	0.0	0.0	0.0	1603300.6	0.0	0.0	1547798.6	0.0	0.0	0.0	0.0	0.0	605555.8	479483.38	0.0	0.0	0.0	XP_044351331.1, XP_044358963.1
XP_044342593.1	XP_044342593.1			271				1.0	0.999	3	21	0	27	0	1	3	3	3	1	1	0	2	2	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	4	1	1	0	2	2	1	2	1	0	2	1	0.0	2.292206E7	2.1090132E7	1.82084E8	6.110613E7	1.046431E7	1.4594819E7	0.0	9.475645E7	3.8283464E7	1.8464272E7	1.8057892E7	1.85799E7	0.0	2.5833322E7	0.0	0.0	2.292206E7	1.6145531E7	1.030222E8	3.3133272E7	1.046431E7	1.4594819E7	0.0	6.137796E7	2.9604888E7	1.8464272E7	1.391225E7	1.4369455E7	0.0	2.5833322E7	0.0	XP_044342594.1
XP_044342595.1	XP_044342595.1			314				1.0	0.9989	12	4	0	326	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	67	10	22	49	10	11	1	16	9	13	22	22	17	16	10	0.0	0.0	0.0	2.4250358E7	6.190649E7	0.0	1.3135653E8	0.0	7.8542E7	0.0	0.0	6.9083176E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5474052E7	5.665725E7	0.0	6.424534E7	0.0	8.25053E7	0.0	0.0	7.2569176E7	0.0	0.0	0.0	0.0	XP_044342596.1
XP_044342598.1	XP_044342598.1			541				1.0	0.9971	4	4	1	4	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0.0	0.0	0.0	0.0	1145099.4	0.0	0.0	0.0	0.0	0.0	0.0	3897526.5	4853363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2796878.8	3253949.8	0.0	0.0	0.0	
XP_044342599.1	XP_044342599.1			378				1.0	0.999	12	5	5	149	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	2	8	12	4	4	4	5	2	19	10	6	15	19	36	2	1	0.0	0.0	739282.4	0.0	0.0	1957439.2	0.0	0.0	0.0	0.0	0.0	532302.3	968644.5	1236546.5	0.0	0.0	0.0	0.0	739282.4	0.0	0.0	1957439.2	0.0	0.0	0.0	0.0	0.0	532302.3	968644.5	1236546.5	0.0	0.0	
XP_044342608.1	XP_044342608.1			634				1.0	0.999	24	226	0	226	0	3	37	30	4	18	27	15	0	0	15	26	30	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	37	30	4	18	27	15	0	0	15	26	30	20	1	0	0.0	1328864.5	1.04327776E9	3.26102E8	9.4084936E7	4.1820428E7	1.07129645E9	2.6135166E8	1.1189728E9	6170664.5	7.5858854E8	1.29340184E8	1.8025518E8	2.2875669E8	9427300.0	0.0	0.0	2.7215596E7	1.07909896E8	1.3709598E8	3.732405E7	7.923123E7	1.0566896E8	6.9087704E7	1.2930343E8	9.370078E7	8.223227E7	9.765513E7	7.7043016E7	8.730046E7	9.887918E7	0.0	XP_044358984.1
XP_044342609.1	XP_044342609.1			518				1.0	0.999	12	60	5	60	1	1	10	3	1	3	9	1	4	1	2	9	7	5	3	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	1	1	10	3	1	3	9	1	4	1	2	9	7	5	3	0	282272.97	0.0	7.408723E7	824163.9	0.0	3.6963188E7	6.948914E7	943721.2	1136549.2	0.0	0.0	7.119105E7	706435.75	2.5356062E7	0.0	0.0	1342416.2	0.0	2.3987308E7	3919507.5	0.0	1.1064001E7	1.0396809E7	1.3035745E7	5112071.5	0.0	0.0	9852930.0	8052372.5	5.5498244E7	0.0	0.0	
XP_044342613.1	XP_044342613.1			350				0.9984	0.999	2	7	0	7	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	431019.16	6548599.0	1.5292339E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	431019.16	6548599.0	1.5292339E7	0.0	0.0	XP_044351359.1
XP_044342615.1	XP_044342615.1			501				1.0	0.999	22	59	59	376	0	0	3	2	3	6	3	0	0	0	0	0	0	2	21	19	0	0	3	2	3	6	3	0	0	0	0	0	0	2	21	19	0	0	40	27	34	41	28	3	3	7	6	2	3	12	80	90	0.0	0.0	4.505434E7	2.6841844E7	8.51257E7	3.1055236E7	2.250157E7	0.0	0.0	0.0	0.0	0.0	0.0	7810421.5	3.1249133E8	3.85673E8	0.0	0.0	3.9143104E7	1.7764754E7	4.6033836E7	2.5112806E7	1.5541636E7	0.0	0.0	0.0	0.0	0.0	0.0	1.6550121E7	1.1535524E8	1.3966269E8	
XP_044342618.1	XP_044342618.1			1297				0.9963	0.999	4	8	0	9	0	0	0	0	0	0	0	0	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	3	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6787589.0	407443.56	1018610.56	5237204.0	0.0	3186886.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	625222.94	1323310.2	3308281.2	5237204.0	0.0	3186886.0	0.0	0.0	
XP_044342619.1	XP_044342619.1			617				0.9998	0.999	13	13	13	319	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	4	30	31	18	27	26	31	19	15	14	28	25	24	14	10	0.0	0.0	2518257.2	2243548.2	1178631.2	3618883.2	4050784.2	2669496.0	4060295.0	0.0	5234785.0	1314337.1	1688080.9	941743.25	1093244.8	0.0	0.0	0.0	2518257.2	2243548.2	1178631.2	3618883.2	4050784.2	2669496.0	4060295.0	0.0	5234785.0	1314337.1	1688080.9	941743.25	1093244.8	0.0	
XP_044342620.1	XP_044342620.1			358				0.8707	0.9976	1	11	0	11	0	0	2	0	0	0	0	0	2	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	1	2	3	0	0	0	0.0	0.0	3043134.8	0.0	0.0	0.0	0.0	0.0	3252018.8	0.0	0.0	5167882.5	1735917.4	0.0	0.0	0.0	0.0	0.0	3043134.8	0.0	0.0	0.0	0.0	0.0	3252018.8	0.0	0.0	5167882.5	1735917.4	0.0	0.0	0.0	XP_044351370.1, XP_044359008.1
XP_044342622.1	XP_044342622.1			348				0.9978	0.999	4	1	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	808160.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044351374.1
XP_044342624.1	XP_044342624.1			61				0.9997	0.999	1	40	0	40	0	2	0	7	4	0	1	0	5	2	2	3	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	4	0	1	0	5	2	2	3	6	8	0	0	0.0	6497206.5	0.0	1.1227753E7	8211988.5	0.0	7347300.0	0.0	4733147.0	6979444.0	6151143.0	841391.1	8633346.0	8764400.0	2630754.0	0.0	0.0	7187374.5	0.0	5369080.5	3998657.8	0.0	4515280.0	0.0	5235927.0	7720838.0	6804550.0	930768.2	4753355.5	4223456.0	2910206.8	0.0	XP_044351376.1, XP_044359015.1
XP_044342626.1	XP_044342626.1			451				1.0	0.999	5	43	0	62	0	1	2	3	2	2	2	3	5	4	6	1	3	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	2	3	4	4	6	5	7	4	5	5	5	3	0.0	0.0	3.4155028E7	4.1918628E7	609756.7	5.1798776E7	6.0813892E7	4.1677984E7	7.006767E7	6.3566964E7	2.879151E8	8.645837E7	9.460395E7	9.072451E7	2.9411206E7	3.2433952E7	0.0	0.0	4.8051852E7	4.477238E7	2.2809992E7	2.2577922E7	3.0824402E7	2.0227406E7	3.8210156E7	6.2924616E7	9.80556E7	3.938056E7	3.839269E7	3.6100576E7	2.7560546E7	3.4642E7	XP_044351380.1, XP_044359017.1
XP_044342628.1	XP_044342628.1			469				1.0	0.999	10	182	0	182	1	1	21	11	5	21	20	18	9	6	6	3	6	7	25	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	21	11	5	21	20	18	9	6	6	3	6	7	25	22	4.270454E7	7.012867E7	8.7701856E8	3.5676512E8	1.5561837E8	6.292306E8	8.8488275E8	6.700864E8	3.0303293E8	1.28148744E8	2.590798E8	2.2514232E8	5.870391E8	7.1570214E8	1.7167452E9	2.1083356E9	4.482393E7	7.3609096E7	4.292145E8	2.1856613E8	1.039486E8	3.313138E8	4.4923782E8	4.611264E8	1.9066746E8	8.88535E7	1.4086901E8	2.5057149E8	2.5806376E8	3.397535E8	7.574387E8	8.9062144E8	XP_044351382.1
XP_044342630.1	XP_044342630.1			678				0.9996	0.999	3	14	6	14	0	1	1	2	2	1	1	0	1	0	0	1	2	2	0	0	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	1	0	1	0	0	1	2	2	0	0	0.0	0.0	5334162.0	8616288.0	6615013.0	0.0	5015649.0	0.0	6929056.5	0.0	3858245.8	6288076.5	4997245.0	4747124.0	0.0	0.0	0.0	0.0	6728153.5	3077767.2	3296719.0	0.0	2499645.2	0.0	8739846.0	0.0	4866532.0	7931357.5	6303189.0	5987703.0	0.0	0.0	
XP_044342632.1	XP_044342632.1			403				1.0	0.999	13	17	17	154	0	0	0	0	0	0	0	0	0	0	0	9	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	9	4	1	3	0	0	0	7	9	0	3	1	0	7	2	9	41	37	15	20	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6330264E7	9369624.0	788735.44	3.787334E7	3.998293E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5351265E7	1.4171258E7	2865427.0	1.5138394E7	2.0549714E7	
XP_044342633.1	XP_044342633.1			187				0.9997	0.999	2	84	0	84	2	2	13	13	13	7	6	0	2	1	1	6	6	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	13	13	13	7	6	0	2	1	1	6	6	6	3	3	3555257.8	6860345.0	1.7194358E7	2.1655156E7	2.485206E7	1.5242701E7	1.5006166E7	0.0	4494471.5	1776469.1	2423264.0	6432643.5	1.0961582E7	7868778.5	2313864.2	6994465.5	4759842.0	9184752.0	8793834.0	1.101195E7	1.2833885E7	7418700.0	7988872.0	0.0	6017278.5	2378368.5	3244309.0	4164008.2	5457526.0	4328910.0	3097842.5	3788565.5	XP_044351391.1, XP_044359038.1
XP_044342634.1	XP_044342634.1			1678				1.0	0.999	61	44	14	350	0	0	0	1	0	0	1	1	0	0	3	18	13	7	0	0	0	0	0	0	0	0	0	1	0	0	0	4	6	3	0	0	0	0	6	15	3	5	7	6	10	5	11	107	107	61	3	4	0.0	0.0	0.0	1957472.0	0.0	1655685.1	956347.44	4778266.5	0.0	0.0	385844.9	1.0542743E8	1.0932244E8	1.0332373E7	0.0	0.0	0.0	0.0	0.0	2492996.0	0.0	2108646.5	6546877.5	0.0	0.0	0.0	2641382.5	1.0282723E7	1.2026035E7	5451647.0	0.0	0.0	
XP_044342637.1	XP_044342637.1			556				1.0	0.999	18	40	1	52	0	0	0	3	1	0	0	7	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	1	14	0	0	0	0	1	32	0	0	0.0	0.0	0.0	7489780.5	1065585.0	0.0	0.0	1.9948542E7	0.0	0.0	0.0	0.0	0.0	5.4215904E8	0.0	0.0	0.0	0.0	0.0	3692635.8	1602741.9	0.0	0.0	1.8107216E7	0.0	0.0	0.0	0.0	0.0	9.549254E7	0.0	0.0	
XP_044342641.1	XP_044342641.1			402				0.9998	0.999	15	276	0	320	0	2	48	25	15	17	33	8	24	6	11	27	32	21	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	57	28	18	22	39	9	30	6	11	30	37	24	7	0	0.0	3417715.0	1.368838E8	2.1759587E8	3.3380164E7	2.2297686E8	3.2196934E8	1.2683752E7	7.131966E7	1.2428782E7	5.2579108E7	9.312515E7	1.03318344E8	1.09110696E8	8573320.0	0.0	0.0	7281197.0	5.552863E7	3.768303E7	2.7818734E7	3.205972E7	4.1328692E7	2.1051298E7	3.6490556E7	1.8938272E7	2.5696426E7	3.375706E7	4.2384244E7	3.667142E7	1.5692941E7	0.0	XP_044342642.1, XP_044342643.1, XP_044342644.1, XP_044351396.1, XP_044351397.1, XP_044351398.1, XP_044351399.1, XP_044351400.1, XP_044351401.1
XP_044342647.1	XP_044342647.1			600				1.0	0.999	23	34	3	237	1	3	4	2	0	3	3	1	3	3	1	5	2	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	7	25	10	9	25	19	6	13	16	16	25	26	18	11	9	6.746E8	1.2662267E7	5.1725236E7	2.3360572E7	3.4273932E7	6.7672424E7	6.416084E7	2.859844E7	4.4811964E7	2.30112E7	3.3545068E7	5.8418204E7	4.9579492E7	2.7825992E7	3.0675156E7	2.747603E7	6.746E8	1.2662267E7	4.936473E7	2.3360572E7	3.4273932E7	5.7443224E7	5.2942856E7	2.859844E7	4.4811964E7	1.531522E7	3.3545068E7	5.3783836E7	4.6829508E7	2.7825992E7	3.0675156E7	2.747603E7	
XP_044342648.1	XP_044342648.1			92				1.0	0.999	8	137	39	137	1	0	2	17	11	8	10	61	0	1	6	3	5	5	4	3	0	0	1	3	2	1	2	19	0	1	4	1	1	1	1	2	1	0	2	17	11	8	10	61	0	1	6	3	5	5	4	3	1392757.9	0.0	1.0788562E7	3.176195E8	2.7142022E8	1.308026E8	2.2269254E8	3.5434148E9	1960432.8	4318249.0	2.421969E7	1.4475767E7	1.2019539E7	4.623159E7	2.5986048E7	6.5690376E7	1.7760058E7	0.0	9571920.0	1.29515816E8	9.4829224E7	5.1751956E7	6.971744E7	9.485679E8	4.5730596E7	1.0073087E8	1.6785692E7	9325237.0	9953419.0	3.898183E7	2.0958942E7	5.5435188E7	
XP_044342649.1	XP_044342649.1			574				1.0	0.999	37	1402	29	2024	13	36	153	95	70	109	122	112	73	79	81	121	103	116	77	42	0	1	4	1	2	1	2	3	2	2	2	3	3	1	2	0	24	52	218	131	99	163	175	155	115	115	109	171	160	163	112	62	6.1392476E7	2.970275E8	2.2811197E9	9.003086E8	6.6219885E8	8.6303917E8	1.2906166E9	1.1481243E9	9.8338054E8	7.4476646E8	1.22585E9	1.9236932E9	8.0754995E8	1.1979603E9	5.2377376E8	5.551377E8	1.028686E8	1.1679038E8	3.0610826E8	2.1362312E8	1.7576376E8	2.5231011E8	2.7743075E8	2.738145E8	2.2103277E8	2.61576E8	2.5138637E8	2.5458304E8	2.3559979E8	2.1963635E8	1.8625867E8	1.730059E8	
XP_044342650.1	XP_044342650.1			714				1.0	0.999	34	253	1	2123	7	5	14	15	14	13	18	12	20	18	16	18	22	33	14	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	52	76	170	173	140	148	169	138	142	113	126	141	151	166	109	109	1.2192486E8	2.2685237E8	2.6966218E9	1.5579695E9	9.0082925E8	1.7581189E9	2.798289E9	1.4547569E9	1.9252788E9	9.996799E8	1.142753E9	2.0015762E9	2.2599462E9	2.1465417E9	2.0396142E9	2.39586E9	1.9736587E8	3.0728058E8	1.2035781E9	1.4336694E9	7.962673E8	8.0732736E8	1.1943081E9	8.377488E8	1.4490721E9	9.7809715E8	1.1035366E9	1.5024115E9	1.2054821E9	2.1502241E9	9.305241E8	6.6692365E8	
XP_044342652.1	XP_044342652.1			372				1.0	0.999	11	65	15	75	0	0	31	0	0	21	10	2	0	1	0	0	0	0	0	0	0	0	7	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	36	0	0	22	12	2	0	1	0	0	0	0	1	1	0.0	0.0	5.9793184E8	5.0258536E7	0.0	5.3162198E8	9.671286E7	1.6854464E7	0.0	0.0	3633502.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1726743E8	4.871966E7	0.0	9.7392536E7	7.090842E7	2.0321816E7	0.0	0.0	3.9176056E7	0.0	0.0	0.0	0.0	0.0	
XP_044342653.1	XP_044342653.1			678				1.0	0.999	22	204	2	204	55	49	2	19	26	2	4	4	9	6	9	6	7	5	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	55	49	2	19	26	2	4	4	9	6	9	6	7	5	1	0	7.266142E8	1.3973718E9	0.0	1.8130096E8	4.412002E8	2.4105546E7	6.139456E7	2.3907276E7	9.6919384E7	5.5904316E7	8.959637E7	5.362921E7	6.212594E7	1.0127131E8	344382.56	0.0	2.8439507E8	3.1726298E8	0.0	1.4873992E8	1.5611496E8	2.0729078E7	2.9789464E7	2.5465212E7	6.739979E7	5.1430256E7	6.52164E7	3.814573E7	4.352515E7	4.114915E7	1.420589E7	0.0	
XP_044342654.1	XP_044342654.1			500				1.0	0.999	31	1264	61	1443	51	114	82	109	105	109	114	150	77	53	48	47	66	96	27	16	3	5	3	8	5	7	4	8	6	4	4	1	0	2	1	0	61	120	101	113	109	122	134	164	90	62	57	60	75	105	39	31	8.900125E8	1.6641322E9	8.952359E8	1.5929766E9	1.2091688E9	1.0410962E9	1.3887223E9	2.6778222E9	1.0457833E9	1.0816078E9	4.9477296E8	4.9241392E8	7.0824954E8	1.6865923E9	2.3216354E8	1.50428E8	2.9198858E8	3.4847574E8	1.7175454E8	2.2993798E8	2.5284957E8	2.3909566E8	2.590024E8	4.048289E8	1.8238765E8	1.7560123E8	1.2937874E8	1.1019629E8	1.3505222E8	2.060595E8	5.073336E7	5.845968E7	
